Designator,Mid X,Mid Y,Rotation,Layer
U63,135.1,-182.37746,0.0,bottom
U64,155.1,-182.37746,0.0,bottom
U65,175.1,-182.37746,0.0,bottom
U66,95.1125,-192.7,0.0,bottom
U67,35.1,-202.37746,0.0,bottom
U68,55.1,-202.37746,0.0,bottom
U69,75.1,-202.37746,0.0,bottom
U7,55.1,-62.37746,0.0,bottom
U70,95.1,-202.37746,0.0,bottom
U71,55.45,-192.6125,0.0,bottom
U8,75.1,-62.37746,0.0,bottom
U9,95.1,-62.37746,0.0,bottom
